@RELATION subject1act 

@ATTRIBUTE hipAccelSensor1	REAL 
@ATTRIBUTE hipAccelSensor2 	REAL 
@ATTRIBUTE class 	{walking,standing,running} 

@DATA 
589.513219,495.804811, 'standing'
594.151267,497.575061, 'standing'
598.688442,505.862400, 'standing'
605.625596,504.376055, 'standing'
603.165996,509.607239, 'standing'
595.520916,503.541905, 'standing'
588.720251,505.230100, 'standing'
581.165928,498.122180, 'standing'
573.314433,498.622281, 'standing'
569.864727,490.021302, 'standing'
581.459877,489.172015, 'standing'
550.515264,484.798206, 'standing'
540.518900,479.409759, 'standing'
582.622074,478.608047, 'standing'
591.993761,485.369330, 'standing'
574.630186,488.322166, 'standing'
562.870466,483.337230, 'standing'
562.017501,488.193810, 'standing'
544.801953,489.808036, 'standing'
527.089309,487.857476, 'standing'
537.688422,490.688945, 'standing'
542.439503,494.397236, 'standing'
550.301013,497.129585, 'standing'
557.240503,497.009692, 'standing'
562.522384,501.690989, 'standing'
576.307251,504.122476, 'standing'
587.274441,500.214163, 'standing'
585.198748,499.682645, 'standing'
579.643860,493.582763, 'standing'
581.004482,488.734021, 'standing'
585.414638,486.272259, 'standing'
592.226913,491.561603, 'standing'
586.385920,497.116827, 'standing'
582.738792,501.224238, 'standing'
581.479420,504.598033, 'standing'
579.883754,504.359149, 'standing'
580.193794,502.003770, 'standing'
597.579895,498.292310, 'standing'
614.274221,484.341380, 'standing'
611.798516,495.379765, 'standing'
617.633711,500.433598, 'standing'
614.300614,502.581985, 'standing'
623.779003,508.704224, 'standing'
611.482275,497.732291, 'standing'
603.643603,499.171925, 'standing'
592.166522,498.389191, 'standing'
589.839755,501.787444, 'standing'
587.839332,491.215612, 'standing'
591.117690,490.566877, 'standing'
595.000307,491.479721, 'standing'
603.522637,498.631974, 'standing'
604.745317,504.363119, 'standing'
599.537986,505.628517, 'standing'
596.356951,513.944411, 'standing'
595.486626,514.998635, 'standing'
601.287554,517.643569, 'standing'
596.375776,505.064107, 'standing'
591.953519,508.004270, 'standing'
585.915158,507.855876, 'standing'
584.194751,503.409904, 'standing'
588.643126,494.758716, 'standing'
591.135121,492.348136, 'standing'
608.730942,499.722029, 'standing'
600.546956,496.632881, 'standing'
605.979468,498.226956, 'standing'
602.757693,501.077716, 'standing'
611.565503,498.078510, 'standing'
610.373752,495.213922, 'standing'
598.089146,488.294639, 'standing'
587.145755,484.426793, 'standing'
577.281570,479.006913, 'standing'
558.502741,493.652336, 'standing'
623.012817,495.641809, 'standing'
560.866716,516.334898, 'standing'
492.668543,522.922143, 'standing'
564.870674,472.494514, 'standing'
597.401634,469.146974, 'standing'
585.957175,473.705175, 'standing'
568.604227,482.928227, 'standing'
548.870056,494.545335, 'standing'
539.089181,497.708005, 'standing'
543.573371,504.585738, 'standing'
542.732474,507.020305, 'standing'
549.081827,504.602686, 'standing'
553.716732,502.069454, 'standing'
567.230877,501.840134, 'standing'
563.485228,502.031245, 'standing'
564.570677,501.015763, 'standing'
568.769470,501.235156, 'standing'
572.403474,504.179814, 'standing'
575.235662,505.298040, 'standing'
581.500794,505.615272, 'standing'
579.802395,503.747372, 'standing'
573.177089,508.398407, 'standing'
574.130368,504.998726, 'standing'
577.916352,506.393273, 'standing'
580.739817,497.457147, 'standing'
585.530128,497.819186, 'standing'
599.621472,501.178747, 'standing'
614.659513,497.903667, 'standing'
620.027294,499.118374, 'standing'
628.531735,499.953786, 'standing'
619.728727,505.476668, 'standing'
606.497415,515.107241, 'standing'
600.632895,514.741767, 'standing'
602.856695,504.510290, 'standing'
597.648365,497.232994, 'standing'
590.325413,492.398034, 'standing'
586.351002,484.460070, 'standing'
585.135332,486.766655, 'standing'
590.499540,491.177299, 'standing'
601.035348,492.935994, 'standing'
614.694376,496.280718, 'standing'
627.582612,506.422828, 'standing'
625.223340,516.191273, 'standing'
609.510845,507.939274, 'standing'
600.810970,512.570664, 'standing'
588.464295,516.104521, 'standing'
578.399176,504.654587, 'standing'
586.271891,499.789452, 'standing'
588.938770,502.096378, 'standing'
